id,name,address,category,type,validity,area,rating,
,COCOHUT TRAVEL & TOURS SDN. BHD.,"Lot 58B, Lorong Empat, 22300 KUALA BESUT, TERENGGANU, Terengganu",Inbound,Ibu Pejabat,27/04/16 - 27/04/25,Besut,no review yet,
,CWS TRAVEL & ADVENTURE SDN BHD,"NO.30, TINGKAT ATAS PASAR BESAR DUNGUN, 23000 DUNGUN, TERENGGANU, Terengganu",Inbound,Ibu Pejabat,14/12/23 - 10/12/24,Dungun,no review yet,
,D'AMMAR JAYA HOLIDAY SDN BHD,"425-A, Kampung Kubang Durian,Jalan Gelugor Kedai,20050 Kuala Terengganu,Terengganu Darul Iman, Terengganu",Inbound,Ibu Pejabat,17/02/16 - 17/02/25,Kuala Terengganu,5,
,D.E.TRAVEL SDN. BHD.,"NO.8, GERAI PELBAGAI PERKEDAIAN, KOTA PUTRA, JALAN BESAR, 22200 KG RAJA, BESUT, TERENGGANU., Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,31/12/14 - 31/12/26,Besut,no review yet,
,DARUL MUBARAK TRAVEL & TOURS SDN. BHD.,"Lot 3015E, Jalan Rusila, Kg. Rusila, Marang, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,17/06/22 - 16/06/25,Marang,3,
,DE LANG RESORT TRAVEL & TOURS SDN. BHD.,"1129-B, 1st Floor, Jalan Bukit Kecil, 21100 Kuala Terengganu, Terengganu",Inbound,Ibu Pejabat,05/08/16 - 05/08/25,Kuala Terengganu,4,
,DE PENARIK BEACH TRAVEL & TOURS SDN. BHD.,"No. 4, Plaza Mara, Jalan Pasar, 22300 Kuala Besut, Terengganu, Terengganu",Inbound,Ibu Pejabat,01/10/16 - 14/10/26,Besut,4,
,DISCOVER TURKEY TRAVEL & TOURS SDN. BHD.,"NO.66/6, TINGKAT MEZZANINE, TAMAN SRI INTAN, JALAN SULTAN OMAR, 20300 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,28/01/20 - 12/10/25,Kuala Terengganu,no review yet,
,DNAMIE LEISURE & TOUR SDN. BHD.,"Lot T1-12, Plaza MARA Kuala Besut, 22300 Kuala Besut, Terengganu","Inbound, Ticketing",Ibu Pejabat,15/05/17 - 20/12/26,Besut,4.1,
,DRB-HICOM EZ-DRIVE SDN BHD(SISTEM SEWA KERETA (M) SDN. BHD.),"Lapangan Terbang Kerteh, 24300 Kerteh, Terengganu",Inbound,Cawangan,31/12/13 - 31/12/25,Kertih,4,
,DUNGUN ESCAPADE RESORT SDN. BHD.,"LOT 6130 KAWASAN INDUSTRI, PULAU SERAI, 23000 DUNGUN, , Terengganu","Inbound, Ticketing",Ibu Pejabat,02/12/19 - 16/03/26,Dungun,4.2,
,EIMAN TRAVEL & TOURS SDN. BHD. - CAW KUALA TERENGGANU,"No. 11874-E, Tingkat 1, Jalan Tengku Mizan, 21200 Kuala Terengganu, , Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,13/08/18 - 02/08/25,Kuala Terengganu,3.8,
,ELA LEISURE & ADVENTURE SDN. BHD.,"LOT 7563, JALAN RAJAWALI, KAMPUNG KUALA PIMPIM, KUALA DUNGUN, 23000 DUNGUN, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,24/08/22 - 17/01/27,Dungun,3,
,EXPLORASI CINTA TRAVEL & TOURS SDN BHD,"K-7146 TINGKAT BAWAH, JALAN PERSIARAN GUNTONG, BANDAR SERI KERTEH, 24300 KEMAMAN TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Cawangan,03/11/22 - 31/10/25,Kemaman,5,
,EZ EXCELLENT TRAVEL & TOURS SDN.BHD,"LOT 11, TKT 1, PLAZA MARA K. TERENGGANU, JALAN TOK LAM, 20100 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,21/02/17 - 21/02/25,Kuala Terengganu,5,
,FAHAREZ HOLIDAYS SDN. BHD.,"LOT B5, TINGKAT 1, ARKED SRI PANTAI, JALAN SULTAN ZAINAL ABIDIN, 20100 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,19/06/22 - 31/10/26,Kuala Terengganu,3,
,"FAUNA HOLIDAYS SDN. BHD.","88,Jalan Haji Mohd Noor, Pekan Kuala Besut, 22300 Besut, Terengganu, Terengganu",Inbound,Ibu Pejabat,31/12/15 - 31/12/24,Besut,5,
,"FLORA PLACE TRAVEL & TOURS SDN. BHD.","Lot 30, Pekan Kuala Besut, 22300 Besut, Terengganu",Inbound,Cawangan,04/05/16 - 13/04/27,Besut,4.5,
,"GAYA ASIA TRAVEL & TOUR'S SDN. BHD.","NO 3B, PERKEDAIAN 2 TINGKAT, 'MERPATI' MDB KUALA BESUT, 22300 KUALA BESUT, Terengganu","Inbound, Ticketing",Ibu Pejabat,18/03/19 - 28/07/25,Besut,3,
,"GT NEW HOLIDAYS SDN BHD","712,Jalan Jeti Kuala Besut,22300 Besut,Terengganu Darul Iman, Terengganu",Inbound,Ibu Pejabat,09/12/15 - 29/06/26,Besut,5,
,"HADIGO TRAVEL AND TOURS SDN. BHD.","Lot PT19065-2, Bangunan Kedai 3 Tingkat, Mukim Kuala Paka, 23100 Paka,, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,18/03/15 - 07/07/25,Paka,4.7,
,HASHWAT ALHARAMAYN & TOURS SDN.BHD.,"LOT 77, BANGUNAN PMINT, BANDAR BARU KERTEH, 24300 KERTEH, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,04/10/23 - 20/09/27,Kerteh,3,
,HEDACO TRAVEL & TOURS SDN. BHD.,"LOT 7, PRIMULA BEACH RESORT, JALAN PERSINGGAHAN 20400 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Cawangan,24/10/17 - 31/12/25,Kuala Terengganu,4.4,
,HEDACO TRAVEL & TOURS SDN.BHD,"LOT 5129, TINGKAT BAWAH, JALAN SULTAN SULAIMAN, 20000 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,31/12/15 - 31/12/25,Kuala Terengganu,4.4,
,HK FLY TRAVEL & TOURS SDN. BHD,"No. 104-E, Tingkat Bawah, Jalan Sultan Ismail Kuala Terengganu, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,12/03/15 - 03/01/26,Kuala Terengganu,5,
,HOST TRAVEL SDN BHD,"TINGKAT 3, NO 18-B, JALAN SULTAN SULAIMAN, 20000 KUALA TERENGGANU, TERENGGANU., Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,11/03/24 - 06/03/25,Kuala Terengganu,3,
,HRM TRAVEL & TOURS SDN BHD,"193-A MEZZANINE FLOOR JLN SULTAN MIZAN ZAINAL ABIDIN KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,03/11/15 - 03/11/26,Kuala Terengganu,3.5,
,HRM TRAVEL & TOURS SDN. BHD.,"No. 118, Kg. Rambai Jantan, 21600 Marang, Kuala Terengganu , Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,07/07/14 - 03/11/26,Marang,3.5,
,IBRAHIM HOLIDAYS TRAVEL SDN. BHD.,"NO.45, LORONG KIRANA 1, JALAN KUALA BERANG, TAMAN KIRANA, 21700 KUALA BERANG, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,12/10/17 - 06/11/25,Kuala Berang,5,
,IBRAHIM HOLIDAYS TRAVEL SDN. BHD.,"LOT269, TINGKAT ATAS PEKAN KUALA BERANG, 21700 KUALA BERANG, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,13/10/19 - 06/11/25,Kuala Berang,5,
,IN SAFF TRAVEL & TOURS SDN BHD,"LOT PT 38729, TINGKAT 2 & 3, WISMA KHALEEDA, JALAN TENGKU MOHAMAD, 21300 KUALA NERUS, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,08/01/18 - 30/11/26,Kuala Nerus,4.7,
,IN SAFF TRAVEL & TOURS SDN BHD,"SHOP LOT, NO.8506, 1ST FLOOR, BATU 2, JALAN AIR PUTIH, SEBELAH PEJABAT VETERINAR, 24000 KEMAMAN, TERENGGANU., Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,04/06/23 - 30/11/26,Kemaman,4.8,
,INTAN UNGGUL TRAVEL & TOURS SDN BHD,"NO A-39, KWSN PERINDUSTRIAN CHENDERING 21080 KUALA TERENGGANU, TERENGGANU, Terengganu",Inbound,Ibu Pejabat,24/03/16 - 21/10/27,Kuala Terengganu,3,
,IRICH TRAVEL & TOURS SDN. BHD.,"LOT 37744, TINGKAT 1, WISMA LIEOS, DATARAN RIMBA SQUARE,21300 KUALA NERUS, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,23/09/19 - 23/09/26,Kuala Nerus,5,
,IZAM TRAVEL & TOURS SDN. BHD.,"NO.12, TINGKAT SATU, BANGUNAN ARKED MARA, 21600 MARANG, Terengganu",Inbound,Ibu Pejabat,15/03/17 - 16/06/26,Marang,1,
,JAD TRAVEL & TOURS (M) SDN BHD,"No. 2549/3, Jalan Sultan Zainal Abidin, 20100 Kuala Terangganu Darul Iman, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,26/07/22 - 25/07/25,Kuala Terengganu,4.2,
,JASA PELANGI HOLIDAYS SDN. BHD,"Lot 26638, Kampung Tok Jembal 21300 Kuala Terengganu, Terengganu Darul Iman, Terengganu",Inbound,Ibu Pejabat,17/07/16 - 17/07/25,Kuala Terengganu,2.4,
,JUARA TRAVEL & TOURS SDN BHD (CAWANGAN JERTEH),"NO.246, JALAN HAJI JUSOH, JERTEH, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,16/01/24 - 06/01/26,Jerteh,5,
,JUARA TRAVEL & TOURS SDN. BHD. - CAW KUALA BERANG,"Lot No. 17, Arked Mara Kuala Berang, 21700 Kuala Berang, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,14/02/24 - 06/01/26,Kuala Berang,5,
,JUARA TRAVEL & TOURS SDN. BHD. - CAWANGAN KERTEH,"Lot 6336-4, Jalan Cabang, Kg. Baru Kerteh, 24300 Kerteh, , Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,29/04/19 - 06/01/26,Kerteh,5,
,JUARA TRAVEL & TOURS SDN. BHD. - CAWANGAN KG TEPOH TERENGGANU,"Lot 34096, Tingkat 1, Rumah Kedai Kg Tepoh, 21060 Kuala Terengganu, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,09/06/16 - 06/01/26,Kuala Terengganu,5,
,KABILAH ADVENTURE SDN BHD,"PT14690, KEDAI KG JAYA BATU 2, JALAN AIR PUTIH, 24000 KEMAMAN, TERENGGANU., Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,08/01/24 - 07/01/25,Kemaman,3,
,KEMBARA UMRAH SDN BHD,"Lot PT 3287, Ground Floor, Chendering Heights, Mukim Chendering, 21080 Kuala Terengganu, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,24/08/23 - 20/10/26,Kuala Terengganu,4.4,
,KETENGAH NIAGA & TOURS SDN BHD,"PT 4595 (5B), BANGUNAN ARKED, BANDAR AL MUKTAFI BILLAH SHAH, 23400 DUNGUN, TERENGGANU, Terengganu",Inbound,Cawangan,04/12/20 - 28/03/26,Dungun,5,
,KETENGAH NIAGA & TOURS SDN. BHD.,"LOT 1970 & 1971, JALAN SULTAN AHMAD, 23400 AL MUKTAFI BILLAH SHAH, DUNGUN, Terengganu",Inbound,Ibu Pejabat,04/12/14 - 28/03/26,Dungun,5,
,KOKITAB LEISURE & MANAGEMENT SDN. BHD.,"No.110-E, Tingkat Mezzanie, Wisma Kokitab, Jalan Sultan Ismail,20200 Kuala Terengganu, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,31/07/16 - 31/07/25,Kuala Terengganu,4.4,
,KOPETRO TRAVEL & TOURS SDN BHD,"LOT K7148, GROUND FLOOR, PERSIARAN GUNTONG, BANDAR SERI KERTEH, FASA 1A, 24300 KERTEH TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,11/01/23 - 01/01/26,Kerteh,4,
,KRDC TRAVEL SDN BHD,"NO.474 PANTAI PERANGINAN MERANG, 21010 SETIU, TERENGGANU., Terengganu",Inbound,Ibu Pejabat,06/03/24 - 28/02/25,Setiu,3,
,KUALA BESUT TRAVEL & TOURS SDN. BHD.,"No. 8, Jalan Pantai, Seberang Barat Kuala Besut, 22300 Besut, Terengganu",Inbound,Ibu Pejabat,31/12/16 - 01/01/26,Besut,4.2,
,KZ TRAVEL AND TOURS SDN. BHD.,"GLL 08 (C) DAN GLL 10 (D), LAPANGAN TERBANG SULTAN MAHMUD, 21300 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,30/01/20 - 19/03/27,Kuala Terengganu,4.2,
,LAGUNA REDANG TRAVEL & TOURS SDN. BHD.,"S-1, Ground Floor, Wisma Tenang, Jalan Sultan Sulaiman, 20000 Kuala Terengganu, Terengganu",Inbound,Ibu Pejabat,22/01/17 - 23/01/26,Kuala Terengganu,4.7,
,LAGUNA REDANG TRAVEL & TOURS SDN. BHD.,"Lot No Gll 9(C) Lapangan Terbang Sultan Mahmud 21300 Kuala Terengganu, Terengganu Darul Iman, Terengganu",Inbound,Cawangan,22/01/17 - 23/01/26,Kuala Terengganu,4.7,
,RADWA TRAVEL & TOURS SDN. BHD.,"7095-A WAKAF TENGAH, MENGABANG TELIPOT, 21030 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Ibu Pejabat,08/05/17 - 08/05/26,Kuala Terengganu,no review yet,Juqi
,RAEF TRAVEL & TOURS SDN BHD,"NO.22C, JALAN BESAR, 22000 JERTEH, TERENGGANU, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Ibu Pejabat,15/01/24 - 15/01/25,Besut,5,
,RAUDHAH JAYA TRAVEL & TOURS SDN BHD,"PT18261-2, TINGKAT ATAS, JALAN AIR PUTIH,KG. JAYA, 24000 KEMAMAN, Terengganu","Inbound, Outbound, Ticket, Umrah",Ibu Pejabat,02/05/19 - 14/05/26,Kemaman,5,
,RAY RENT HOLIDAYS & TOURS SDN. BHD.,"LOT 21865, JALAN KUBANG KURUS, TAMAN CHUKAI UTAMA, 24000 KEMAMAN TERENGGANU, Terengganu","Inbound, Outbound, Ticket",Ibu Pejabat,02/07/20 - 09/08/26,Kemaman,no review yet,
,RAYHAR TRAVEL SDN. BHD.,"LOT 123, JALAN BESAR JERTEH, 22000 JERTEH, TERENGGANU DARUL IMAN, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Cawangan,31/12/16 - 01/01/26,Besut,4.3,
,RAYHAR TRAVEL SDN. BHD.,"LOT 50098, PEKAN KUALA BERANG, JALAN BESAR, 21700 HULU TERENGGANU, TRG, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Cawangan,31/12/16 - 01/01/26,Hulu Terengganu,4.3,
,RAYHAR TRAVEL SDN. BHD.,"LOT 21862, TINGKAT BAWAH 1 & 2, SUSUR CHUKAI UTAMA, TAMAN CUKAI UTAMA, KUBANG KURUS, KEMAMAN, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Cawangan,01/12/16 - 01/01/26,Kemaman,4.3,
,RAYHAR TRAVELS SDN. BHD,"TINGKAT 1, WISMA KOKITAB, JALAN SULTAN ISMAIL,20200 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Cawangan,31/12/16 - 01/01/26,Kuala Terengganu,4.3,
,RAYHAR TRAVELS SDN. BHD,"LOT 2894 TAMAN ROS BATU 48 JALAN PAKA 23000 DUNGUN TERENGGANU DARUL IMAN, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Cawangan,31/12/16 - 01/01/26,Dungun,4.3,
,RAYHAR TRAVELS SDN. BHD.,"No. 1341-1, Di Hadapan Sek Men. Sultan Ismail, Kg. Besut, 24000 Kemaman,, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,31/12/16 - 01/01/26,Kemaman,4.3,
,RAYHAR TRAVELS SDN. BHD.,"NO.IKS-08A & IKS-08B, BANDAR CENEH BAHARU, 24000 KEMAMAN, TERENGGANU., Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,26/06/19 - 01/01/26,Kemaman,4.3,
,RAZNA TRAVEL & TOURS SDN. BHD.,"PT37756 TINGKAT 1, RIMBA JAYA SQUARE GONG PAK DAMAT, 21200 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,18/12/17 - 19/10/26,Kuala Terengganu,4,
,REDANG AQUATIC ADVENTURE SDN. BHD,"NO. 28-28A, JALAN TOK LAM, KUALA TERENGGANU, 20100, Terengganu","Inbound, Outbound, Ticketing",Cawangan,06/01/23 - 31/12/25,Kuala Terengganu,2.8,
,REDANG BAY RESORT TRAVEL & TOURS SDN. BHD.,"NO 131, JALAN BANDAR, 20100 KUALA TERENGGANU, Terengganu",Inbound,Ibu Pejabat,11/10/17 - 31/12/25,Kuala Terengganu,4.7,
,REDANG HOLIDAY BEACH RESORT SDN BHD,"No. 35, Jalan Bandar, 20100 K. Terengganu, Terengganu",Inbound,Ibu Pejabat,31/12/16 - 31/12/25,Kuala Terengganu,no review yet,
,REDANG PELANGI RESORT TOUR & TRAVEL SDN BHD,"No. 2-A, Jalan Syed Hussein, Terengganu",Inbound,Ibu Pejabat,31/12/14 - 31/12/26,Kuala Terengganu,4.2,
,REDANG REEF RESORT TRAVEL & TOURS S. BHD,"167 Jalan Bandar,20100 K. Terengganu, Terengganu., Terengganu",Inbound,Ibu Pejabat,31/12/14 - 05/12/26,Kuala Terengganu,4.3,
,RESORTS WORLD TOURS SDN BHD,"LOBBY TOUR COUNTER, RESORTS WORLD KIJAL, KM 28, JALAN KEMAMAN-DUNGUN, 24100 KIJAL, KEMAMAN, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Cawangan,13/01/23 - 31/12/25,Kemaman,no review yet,
,RESORTS WORLD TOURS SDN. BHD.,"Lobby Tour Counter Resorts World Kijal KM 28 Jalan Kemaman-Dungun 24100 Kijal Kemaman,, Terengganu","Inbound, Outbound, Ticketing",Cawangan,29/12/22 - 31/12/25,Kemaman,no review yet,
,RISHADA LIMO & HOLIDAY SDN. BHD.,"Tingkat 1, LOT 16 BANGUNAN TH WISMA SERANGKAI 24000 KEMAMAN, TERENGGANU , Terengganu",Inbound,Ibu Pejabat,11/01/17 - 11/01/27,Kemaman,no review yet,
,RNR ILTIZAM HOLIDAYS SDN. BHD.,"LOT PT29760 TINGKAT 2, TAMAN BESTARI, GONG BADAK,21300 KUALA NERUS, TERENGGANU, Terengganu"," Inbound, Outbound, Ticketing",Ibu Pejabat,11/11/18 - 27/08/26,Kuala Nerus,no review yet,
,        S.P. LAGENDA HOLIDAYS SDN. BHD.,"NO. K -540, TINGKAT 2, JALAN PENGLIBURAN 2400 KEMAMAN, TERENGGANU, Terengganu",Inbound,Ibu Pejabat,18/11/16 - 18/11/25,Kemaman,no review yet,
,SAA TRAVEL AND TOUR SDN BHD,"LOT 4207, KAMPUNG BANGGOL, KUALA IBAI, 20400 KUALA TERENGGANU, Terengganu","Inbound, Outbound",Ibu Pejabat, 29/06/21 - 12/10/25,Kuala Terengganu,no review yet,
